2,1020,"Manuel Acuña","Av. Manuel Acuña No. 3200 Fracc. Monraz Guadalajara, Jalisco C.p. 44690",,,"Guadalajara","Jalisco",,"01 33","36-42-41-13","36-42-43-14","36-42-46-79","36-42-57-31",,"Ext. 134","S"
2,1039,"Zavaleta","Calz. Zavaleta 3320 Col. Santa Cruz Buenavista C.p. 72170 Puebla Pue.",,,"Puebla","Puebla, Pue",,"01 22","21-69-51-52","21-69-51-54","21-69-51-53",,,"Ext.134",
2,1053,"Acoxpa","Calz. Acoxpa No. 438, Esq. Con Calzada De Guadalupe, Col. Ex Hacienda Coapa, C.p. 14300, Del. Tlalpan, D.f.",,,"Area Metropolitana","Mexico, D.f",,"01 55","56-79-26-70","56-79-26-84","56-79-27-23","56-79-27-32",,"56-79-27-66",
2,1074,"Mariano Otero","Av. Mariano Otero 3386 Col. El Colli Zapopan, Jalisco C.p. 45036",,,"Zapopan","Jalisco",,"01 33","38-55-80-01","38-55-81-23","31-33-41-61",,,"Ext. 133",
2,1075,"Providencia","Av. Ignacio Comonfort No. 654 Norte Lote 1 Manzana Vi Col. Residencial La Providencia C.p. 52172 Metepec, Edo. De Mexico",,,"Toluca","Toluca, Edo. Mex",,1722,2351219,2351220,2351221,2351222,,,
2,1100,"Las Torres","Blvd. Lopez Sanabria No. 101 Col. Predio Cerro Gordo C.p. 37160 Leon, Guanajuato",,,"Leon","Guananjuato",,"01 47","77-18-44-38","77-18-45-16","77-18-45-37","77-18-44-90",,"Ext.  106",
2,1112,"San Luis Potosi","Cordillera De Los Alpes No. 710 Col. Lomas 4ta. Sección San Luis Potosí C.p. 78216 Entre Real De Lomas Y Calle Karakora",,,"San Luis Potosi","S.l.p., S.l.p.",,"01 444","825-72-01","825-72-02","825-72-03","825-72-04","825-72-05",,
2,1147,"Morelia","Av. Lic. Enrique Ramirez No.445 Loc. 5 Col. Las Américas Morelia, Mich. C.p. 58270 Entre Canadá Y Venezuela",,,"Morelia","Michoacan",,"01 44","33-24-57-18","33-14-73-89","33-14-87-19","33-15-25-78","33-15-14-10","Ext. 105",
2,1159,"Tejeda","Carret. Celaya-querétaro No. 2  Col. Residencial Tejeda C.p. 76900 Corregidora, Querétaro",,,"Queretaro","Queretaro, Qro.",,"01 442","228-91-08","228-91-29","228-91-30","228-91-31",,,
2,1160,"Tecnologico","Av. Tecnológico 960 Norte, Entre Av. Las Torres, San Salvador Tizatlalli, C.p. 52172, Metepec, Estado De México",,,"Toluca","Toluca, Edo. Mex.",,1722,2715749,2715751,2715752,2715753,,"2715749 Ext 113",
2,1196,"Milenio","Camino Real De Carretas No. 144 Col. Fracc. Milenio Iii Cp 76060, Querétaro, Qro.",,,"Queretaro","Queretaro, Qro.",,"01 442","198-21-04","198-21-05","198-21-06","198-21-07","198-21-09",,
2,1247,"San Jeronimo","Insurgentes Lote 21 Manzana 102 Entre Las Calles San Jemo Y Pirandelo, Col. San Jerónimo, C.p. 64640, Monterrey, Nuevo León",,,"Monterrey","Nuevo Leon",,"01 81","13-08-10-91","13-08-10-87","13-08-10-89",,,,
2,1248,"Zapata","Av. Emiliano Zapata No. 807 Entre Las Calles De Cerritos Y Glorieta Tlaltenango, Col. Tlaltenango, C.p. 62170, Cuernavaca, Morelos",,,"Cuernavaca","Morelos",,"01 777","311-23-46","311-25-80",,,,,
2,1249,"Naciones Unidas","Av. De Los Virreyes No. 565 Entre Las Calles Naciones Unidas, Col. Residencial Virreyes, C.p. 45110, Zapopan, Jalisco",,,"Zapopan","Jalisco",,"01 33","36-27-85-81","36-27-85-82","36-27-85-83 ","36-27-85-84",,,
2,1408,"Valle Dorado","Blvd. Manuel Avila Camacho No. 3130, Tlalnepantla, Estado De México",,,"Area Metropolitana","Estado De Mexico",,"01 55","53-78-63-56","53-78-74-45","53-78-75-25","53-78-76-38",,,
2,1492,"Oliplaza","Av. Río Churubusco No. 583 Esq. Av. La Viga, Col. Sector Popular, C.p. 09060, Deleg. Iztapalapa, D.f.",,,"Area Metropolitana","Mexico, D.f",,"01 55","54-45-57-93","54-45-66-30","54-45-84-88",,,,
2,1493,"La Vista","Blvd. Vía Atlixcayotl No. 1504 Col. Country Club La Vista C.p. 72830 San Andrés Cholula Puebla",,,"Puebla","Puebla, Pue",,"01 22","24-31-26-74","24-31-26-75","24-31-26-76",,,"Ext.105",
2,1528,"Cumbres Cancún","Blvd. Luis Donaldo Colosio, Sm 310, Ma 1, Lt 4-02 S/n Col. Sm 3, Benito Juárez, Cancún, Quintana Roo C.p. 77500",,,"Cancun","Cancun, Quintana Roo",,"01 998","882-18-90","882-03-67",,,,,
2,1627,"San Isidro","Camino A Bosques De San Isidro No. 1475 Esq. Av. Río Blanco, Col. Centro Comercial Punta San Isidro, C.p. 45135, Zapopan, Jal.",,,"Zapopan","Jalisco",,"01 33","36-36-00-64","36-36-01-07","36-33-02-93",,,,
2,1832,"Margain","Calle Rio Missouri #600, Col. Valle De Sta. Engracia, Cp. 66268, Nuevo León San Pedro Garza García, Nuevo León",,,"Monterrey","Nuevo Leon",,"01 81","83-56-38-78","83- -56-40-97","83-56 -58-82","83-56-60-13",,"Ext. 105",
2,2052,"Xalapa","Av. Lazaro Cardenas No. 71 Entre Av. Murillo Vidal Y Paseo De Las Palmas Fracc. Las Animas Xalapa, Ver. 91190",,,"Xalapa","Xalapa, Ver",,"01 22","88-13-62-76","88-13-62-99","88-12-85-75","88-12-85-07","88-12-81-21","Ext.105",
2,2092,"Campestre","Blvd. Lic. Miguel De La Madrid Hurtado No. 101, Entre Blvd. Colosio, C.p. 20119, Col. Lomas Del Campestre 2a. Sección, Aguascalientes, Ags",,,"Aguascalientes","Aguascalientes",,"01 44","99-14-04-40","91-53-31-52","91-53-31-53","91-53-31-54","91-53-31-55",,
2,2093,"Bonampak","Av. Bonampak Sm Zona Hotelera Manzana 2 Lote 1-01 Entre Las Calles Mangle Y Uxmal, Col. Zona Hotelera, C.p. 77500, Benito Juárez, Q. Roo.",,,"Cancun","Cancun, Quintana Roo",,"01 998","884-66-85","884-67-05","884-67-73","884-72-02",,,
2,2180,"Chapalita","Av. López Mateos Sur No. 1825, Entre Av. De Las Rosas Y Calle Capuchinas,col Chapalita C.p. 44500, Guadalajara, Jalisco,",,,"Guadalajara","Jalisco",,"01 33","36-47-40-53","36-47-41-19","36-47-41-73",,,"Ext. 105",
2,2220,"Ruben Dario","Turín No. 2828 Entre Rubén Darío Y Florencia, Col. Lomas De Guevara, C.p. 44657, Guadalajara, Jal.",,,"Guadalajara","Jalisco",,"01 33","36-40-42-70","36-40-47-06","36-41-49-96","36-41-88-57",,,
2,2805,"Conchal ,boca Del Rio","Carretera Federal Boca Del Río - Antón Lizardo Km 3.5 No. 3500 En El Acceso Al Fraccionamiento Lomas Diamante, Col. Ex Hacienda Santa María Buenavista, C.p. 95253, Alvarado, Veracruz",,,"Veracruz","Veracruz",,"01 22","91-79-45-01","91-79-45-03","91-79-45-04","91-79-45-06",,"Ext.105",
2,2829,"Calzada De Los Leones","Calzada De Los Leones No. 242 Col. Los Alpes  Delg. Alvaro Obregón Mexico D.f. C.p. 01010",,,"Area Metropolitana","Mexico, D.f",,"01 55","55-93-62-51","55-93-59-61","55-93-62-08",,,,
2,2830,"J.de La Montaña","Blvd. Picacho Ajusco No. 8 Entre Las Calles Paseos Del Pedregal Y Pico De Turquino, Col. Jardines En La Montaña, C.p. 14210, Tlalpan, D.f",,,"Area Metropolitana","Mexico, D.f",,"01 55","56 45 82 00","26 15 87 13","30 89 08 79","3089 23 56",,"Ext. 127",
2,2895,"La Marina","Blvd. Costera Miguel Alemán No. 641 Entre Las Calles Adolfo López Mateos Y Las Playas, Col. Las Playas, C.p. 39390, Acapulco De Juárez, Guerrero",,,"Acapulco","Guerrero",,"01 744","482-41-76","482-41-68","482-07-97","482-42-21",,,
2,3025,"Parques Polanco","Lago Alberto No. 320, Entre Las Calles Mariano Escobedo Y Lago Mayor, Col. Granada, C.p. 11520, Deleg. Miguel Hidalgo, D.f.",,,"Area Metropolitana","Mexico, D.f",,"01 55","55-45-32-01","52-03-22-24","26-24-06-39",,,"55-45-47-64",
2,3034,"Fuentes De Las Lomas","Av. Jesús Del Monte No. 37, Entre Olmo Y Prolongación Huixquilucan, Col. Jesús Del Monte, C.p. 52764, Huixquilucan, Estado De México",,,"Area Metropolitana","Estado De Mexico",,"01 55","5247-4336","5247-4335","5247-4334","5247-4333","5247-4330","Ext. 105",
2,3035,"Galerías","Prolongación De 27 De Febrero No. 3016, Entre Av. Paseo De Tabasco Y Vía 5, Col. Galaxia Tabasco 2000, C.p. 86035, Villahermosa Tabasco",,,"Villahermosa","Villahermosa, Tabasco",,"01 993","316-94-70","316-86-39","316-86-54","316-86-55","316-86-66","316-89-60",
2,3053,"Montejo","Calle 30 No. 500 Col. Mexico C.p. 97125 Mérida, Yucatán",,,"Merida","Merida, Yucatan",,"01 999","948-06-18","948-06-37","948-07-41","948-06-76","944-76-22",,
2,3054,"Santa Anita","Av. López Mateos Sur No. 5550 A Esq. Calle La Tijera, Col. Santa Anita, C.p. 45645, Tlajomulco De Zúñiga, Jal.",,,"Tlajomulco","Jalisco",,"01 33","31-88-63-13","31-88-67-24","31-88-60-75",,,"31-88-62-39",
2,3140,"Juriquilla","Anillo Vial Ii Fray Junipero Serra No. 2701 Manzana 2 Lote 9 Entre Las Calles Santa Teresa Y Juriquilla, Col. Fracc. Residencial Juriquilla Santa Fe, C.p. 76230, Querétaro, Qro",,,"Queretaro","Queretaro, Qro.",,"01 442","393-05-07","393-05-10","393-05-23","393-05-24",,,
2,3177,"Ins. La Joya","Insurgentes Sur No. 4120 Entre Las Calles De Cantera Y Limantitla, Col. Tlalpan Centro, C.p. 14000, Deleg. Tlalpan, D.f.",,,"Area Metropolitana","Mexico, D.f",,"01 55","56-55-81-08","56-55-80-62","56-55-81-26",,,,
2,3212,"Irapuato","Av. Villas De Irapuato No. 1861 Entre Las Calles Las Villas Y Río Silao, Col. Ejido San Francisco De Las Charcas, C.p. 36670, Irapuato, Gto.",,,"Irapuato","Guananjuato",,"01 46","26-23- 09 -78","26-23 -08- 42","26-23-10-87","26-23-03-36",,,
2,3224,"Centro De Atencion A Domicilio","Pino No 72 Col San Clemente  Delegación Alvaro Obregón Mexico  D.f C.p  01470",,,"Area Metropolitana","Mexico, D.f.",,155,"12-85-73-69","56-35-74-94",,,,,
2,3359,"Bugambilias","Blvd.  Bugambilias No. 4460 Entre Las Calles Circuito Del Lince, Col. Ciudad Bugambilia, C.p. 45238, Zapopan, Jalisco (oficial)",,,"Zapopan","Jalisco",,"01 33","31-88-43-29","36-84-56-64","31-88-32-29",,,,
2,3397,"Mayorazgo","Mayorazgo No130 Col. Xoco Del. Benito Juarez , México  D.f. C.p. 03339",,,"Area Metropolitana","Mexico, D.f",,"01 55","56-04-92-82","56-04-87-74","56-05-32-56","56-05-88-98",,,
2,3479,"Popocatepetl","Av. Popocatepetl No 546 Esq. Av. Universidad, Col. Xoco, C.p. 03330, Deleg. Benito Juarez, D.f.",,,"Area Metropolitana","Mexico, D.f",,"01 55","56-04-24-11","56-04-24-17","56-04-24-19","56-04-24-22",,,
2,3480,"Wtc Dakota","Av. Dakota No. 95 Entre Las Calles Arizona Y Altadena, Col. Nápoles, C.p. 03810, Deleg. Benito Juárez, D.f.",,,"Area Metropolitana","Mexico, D.f",,"01 55","62-34-89-05","62-34-89-03","62-34-89-02","62-34-89-01",,,
2,3481,"Grand Polanco","Boulevard Miguel De Cervantes Saavedra No. 380, (376a)col. Irrigación, Delegación Miguel Hidalgo",,,"Area Metropolitana","Mexico, D.f",,"01 55","55-80-74-01","55-80-74-02","55-80-74-03","55-80-74-04","55-80-74-05",,
2,3629,"Echegaray","Av. Gustavo Baz 3 244 Col. Echegaray Naucalpan Edo. De Mexico C.p. 02770",,,"Area Metropolitana","Estado De Mexico",,"01 55","53-63-54-91","53-63-57-41","53-63-59-67","53-63-60-30","53-63-60-86","Ext. 132",
2,3809,"Pachuca","Pachuca No.99 Col. Condesa Delegación Cuauhtémoc Mexico, D.f. C.p. 06140",,,"Area Metropolitana","Mexico, D.f",,"01 55","52-56-02-86","52-11-07-01","52-11-09-36",,,"Ext. 135",
2,3810,"Sena","Rio Balsas No. 23 Col. Cuauhtémoc Delegación Cuauhtémoc Mexico, D.f. C.p. 06500",,,"Area Metropolitana","Mexico, D.f",,"01 55","55-25-54-60","55-25-54-20","52-08-79-00",,,"Ext. 19",
2,3811,"Horacio","Horacio No. 603 Col. Chapultepec Morales Delegación Miguel Hidalgo Mexico, D.f. C.p. 11570",,,"Area Metropolitana","Mexico, D.f",,"01 55","52-54-87-40","52-54-89-39","52-55-13-64","   52-55-06-78",,"Ext.106",
2,3812,"Narvarte","Pedro Romero De Terreros No. 1461 Col. Narvarte Delegación Benito Juarez México, D.f. C.p. 03020",,,"Area Metropolitana","Mexico, D.f",,"01 55","56-39-62-19","56-39-53-44","56-39-05-68","56-38-06-49",,"5639-8526",
2,3813,"Churubusco","Av. Cerro De Las Torres No. 229 Col. Campestre Churubusco Delegación Coyoacán Mexico, D.f.c.p.04200",,,"Area Metropolitana","Mexico, D.f",,"01 55","55-44-38-41","55-44-38-40","55-49-99-25",,,,
2,3814,"Barrilaco","Sierra Ventana No.750 Col. Lomas De Chapultepec Delegación Miguel Hidalgo Mexico, D.f.c.p. 11000",,,"Area Metropolitana","Mexico, D.f",,"01 55","52-82-43-64","52-82-42-41","52-82-49-43","55-20-48-60",,"55-20-77-29",
2,3815,"Tecamachalco","Av. De Las Fuentes No. 174 Col. Lomas De Tecamachalco C.p. 53950 Naucalpan, Edo. De Mexico",,,"Area Metropolitana","Estado De Mexico",,155,"55-89-30-04","55-89-30-16","55-89-57-23","52-94-10-41",,"Ext-105",
2,3816,"Pedregal","Av. Sn. Jerónimo No.273 Col. La Otra Banda  Delegación Alvaro Obregón Mexico, D.f. C.p. 01090",,,"Area Metropolitana","Mexico, D.f",,"01 55","55-50-34-95","55-50-78-10","55-50-90-99",,,,
2,3817,"Georgia","Georgia No. 53 Col. Nápoles Delegación Benito Juarez México, D.f. C.p. 03810",,,"Area Metropolitana","Mexico, D.f",,"01 55","55-43-32-53","55-36-09-20","55-36-09-18",,,,
2,3818,"Revolución","Av. Revolución No. 1151 Col. Mixcoac Delegación Benito Juarez México, D.f. C.p. 03910",,,"Area Metropolitana","Mexico, D.f",,"01 55","55-93-97-06","55-93-97-57","55-93-96-00","55-93-97-83",,,
2,3819,"Del Valle","Heriberto Frías No. 1107 Col. Del Valle Delegación Benito Juarez México, D.f. C.p. 03100",,,"Area Metropolitana","Mexico, D.f",,"01 55","55-75-18-44","55-59-46-30","55-59-47-69",,,,
2,3820,"Michoacán","Michoacán No. 38 Col. Hipódromo Condesa Delegación Cuauhtémoc Mexico, D.f. C.p. 06170",,,"Area Metropolitana","Mexico, D.f",,"01 55","52-56-55-90","52-11-55-60","52-11-55-85",,,"Ext. 105",
2,3821,"Lindavista","Montevideo No. 360 Col. Lindavista Delegación Gustavo A. Madero Mexico, D.f. C.p. 07300",,,"Area Metropolitana","Mexico, D.f",,"01 55","55-86-32-24","55-86-42-78","57-54-81-92","57-54-81-42","55-86-42-67","57-54-80-18",
2,3824,"Oradores","Av. Fuentes De Satélite No. 1 Fraccionamiento Col. Jardines De Bellavista, Tlalnepantla De Baz, Edo. De Mexico C.p. 54080",,,"Area Metropolitana","Estado De Mexico",,"01 55","53-93-13-94","53-93-04-14","55-62-96-41",,,"53-93-04-98",
2,3825,"San  Mateo","Antiguo Camino A San Mateo No. 20 Col. Anexo Coamilco C.p. 53240 Naucalpan, Edo. De Mexico",,,"Area Metropolitana","Estado De Mexico",,"01 55","55-60-43-97","55-60-32-30","55-60-36-96",,,"53-60-26-79",
2,3826,"Viveros","Calle 8 No. 1 Col. Viveros Del Valle C.p. 54080 Tlalnepantla, Estado De Mexico",,,"Area Metropolitana","Estado De Mexico",,"01 55","53-97-12-50","53-62-42-60","53-97-24-26","53-98-26-87",,"53-62-48-63",
2,3827,"Periferico","Calz. De Tlalpan  No.4467 Col. Toriello Guerra  Delegación Tlalpan Mexico,d.f. C.p. 14050",,,"Area Metropolitana","Mexico, D.f",,"01 55","55-28-53-41","55-28-55-97","56-06-35-19",,,,
2,3828,"Los Morales","Horacio No. 1740 Col. Chapultepec Morales Delegación Miguel Hidalgo Mexico, D.f. C.p. 11510",,,"Area Metropolitana","Mexico, D.f",,"01 55","52-80-34-91","52-82-19-19","52-80-97-42","52-82-07-96",,52820991,
2,3829,"Bosques De Las Lomas","Bosques De Duraznos 187 Loc. 1 Col. Bosques De Las Lomas Delegación Miguel Hidalgo Mexico, D.f.c.p. 11700",,,"Area Metropolitana","Mexico, D.f",,"01 55","52 45 14 00","52 45 02 05","52 45 17 75","52 45 10 25",,,
2,3830,"Virreyes","Aguilar Y Seixas No. 123 Col. Molino Del Rey Delegación Miguel Hidalgo Mexico, D.f. C.p. 01140",,,"Area Metropolitana","Mexico, D.f",,"01 55","55-40-06-14","55-40-22-82",,"52-82-40-29",,"Ext .105",
2,3831,"Coyoacan","Miguel A. De Quevedo 870 Col. Concepción  Delegación Coyoacán Mexico, D.f. C.p. 04000",,,"Area Metropolitana","Mexico, D.f",,"01 55","56-58-24-99","56-58-23-67","56-58-24-10",,,,
2,3832,"Homero","Av. Homero No.310  Col. Chapultepec Morales Delegación Miguel Hidalgo Mexico, D.f.",,,"Area Metropolitana","Mexico, D.f",,"01 55","55-45-44-31","55-45-32-61","55-45-03-71","52-55-5344",,"Ext.121",
2,3833,"Jardines","Av. De Las Fuentes  No. 490 Jardines Del Pedregal Delegación Alvaro Obregón Mexico, D.f. C.p. 01900",,,"Area Metropolitana","Mexico, D.f",,"01 55","55-68-10-74","56-52-45-62","55-68-75-27","55-68-78-86",,,
2,3834,"Indiana","Maximino Avila Camacho No. 32 Col. Ciudad De Los Deportes Delegación Benito Juarez México, D.f. C.p. 03710",,,"Area Metropolitana","Mexico, D.f",,"01 55","55-63-35-87","55-63-73-35","56-11-01-50",,,"55-63-30-15",
2,3835,"Lomas Anahuac","Av. De Los Bosques No. 234 Col. Lomas De Tecamachalco Huixquilucan, Edo. De Mexico C.p. 52760",,,"Area Metropolitana","Estado De Mexico",,"01 55",55960246,55960288,52451147,,,,
2,3836,"Copilco","Av. Copilco No. 75 Col. Copilco El Bajo Delegación Coyoacán Mexico, D.f. C.p. 04340",,,"Area Metropolitana","Mexico, D.f",,"01 55","56-59-38-09","56-59-54-18","56-59-51-76","55-54-09-64",,,
2,3837,"Luis Cabrera","Av. Contreras No.386 Col. Sn. Jerónimo Lidice Delegación Magdalena Contreras Mexico, D.f. C.p. 10200",,,"Area Metropolitana","Mexico, D.f",,"01 55","56-68-01-20","56-68-04-95","56-68-56-16","56-68-57-45","56-83-50-13","56-68-47-45",
2,3838,"Lomas Verdes","Av. Lomas Verdes No. 545 Col. Lomas Verdes C.p. 53120 Naucalpan, Edo. De Mexico",,,"Area Metropolitana","Estado De Mexico",,"01 55","53-43-81-74","53-43-80-57","53-43-92-10",,,"Ext. 105",
2,3839,"Girasoles","Rancho Sn. Lorenzo No. 6 Col. Girasoles De Valle Delegación Coyoacán Mexico, D.f. C.p. 04920",,,"Area Metropolitana","Mexico, D.f",,"01 55","56-79-68-23","56-79-67-74","56-79-84-76","56-79-71-66",,,
2,3840,"Patio Pedregal","Periférico Sur No 5270 Col. Sta. úrsula Coyoacán Mexico, D.f. C.p. 04650",,,"Area Metropolitana","Mexico, D.f",,"01 55","5606-7003","5606-7446","5665-7986",,,"5665-7986",
2,3841,"Lilas","Paseo De Las Lilas No.92 Col. Bosques De Las Lomas Delegación Cuajimalpa Mexico, D.f. C.p. 05120",,,"Area Metropolitana","Mexico, D.f",,155,"52-59-33-34","52-59-38-89","52-59-40-93",,,,
2,3842,"Rio Churubusco","Ajusco No. 126 Col. Portales C.p. 03300 Delegación Benito Juarez México, D.f.",,,"Area Metropolitana","Mexico, D.f",,"01 55","56-01-00-25","56-01-07-76","56-01-02-22","56-01-08-46",,,
2,3843,"División Del Norte","División Del Nte.  No. 3651 Col. Sn. Pablo Tepetlapa Delegación Coyoacán Mexico, D.f. C.p. 04600",,,"Area Metropolitana","Mexico, D.f",,"01 55","56-10-34-07","56-10-27-48",,,,,
2,3844,"Bosques De Minas","Bosque De Minas No. 33 Col. Bosques De La Herradura Huixquilucan, Edo. De Mexico C.p. 52783",,,"Area Metropolitana","Estado De Mexico",,"01 55","52-95-41-21","52-95-45-25","52-95-13-07",,,"52-95-55-98",
2,3849,"Esmeralda","Vía Doctor Jorge Jimenez Cantu S/n Col. Plaza Del Condado C.p. 52930 Atizapán De Zaragoza, Edo. De Mexico",,,"Area Metropolitana","Estado De Mexico",,"01 55","53-08-20-48","53-08-20-40","53-08-20-39","53-08-20-38",,"Ext.131",
2,3881,"Santa Fe","Av. Tamaulipas No. 3000 Col. Santa Fe Delegación Cuajimalpa Mexico, D.f. C.p. 05340",,,"Area Metropolitana","Mexico, D.f",,"01 55","52-92-29-90","52-92-29-91",,,,"52-92-10-77",
2,3896,"Ftes. Pedregal","Calle Unión No. 3 Colonia Fuentes Del Pedregal Delegación Tlalpan Mexico, D.f. C.p. 14220",,,"Area Metropolitana","Mexico, D.f",,"01 55","54-46-39-25","54-46-39-26","54-46-39-27","54-46-39-29","54-46-39-30","54-46-45-80",
2,3906,"Gobernadores","Ave. Vicente Guerrero No. 760  (ocotepec Y Bélgica) Col. Lomas De La Selva Cuernavaca, Mor. C.p. 62270",,,"Cuernavaca","Morelos",,"01 777","311-91-73","311-91-74","311-91-75","311-91-76",,,
2,3915,"Av. Toluca","Av. Toluca No. 511  Col. Olivar De Los Padres Delegación Alvaro Obregón Mexico, D.f. C.p. 01780",,,"Area Metropolitana","Mexico, D.f",,"01 55","56-83-13-51","56-83-13-68","56-83-13-66","56-83-13-53",,,
2,3921,"Vista Hermosa","Av. Noche De Paz No. 38 Col. Granjas Navidad  Delegación Cuajimalpa Mexico, D.f. C.p. 05219",,,"Area Metropolitana","Mexico, D.f",,"01 55","21-63-20-20","21-63-20-21","21-63-20-22","21-63-20-23",,,
2,3941,"Tulum","Av. Tulum Sm 11  Manzana 2 Lote 3 Entre Las Calles Av. Nichupté Y Acanceh. Col.  Supermanzana 11  C.p. 77504 Benito Juárez, Quintana Roo",,,"Cancun","Cancun, Quintana Roo",,"01 998","802-21-86","802-21-88","802-21-90",,,,
2,4063,"Valle Real","Av. Santa Margarita No. 4000, Esq. Av. Del Servidor Público, Col. Valle Real, C.p. 45136, Zapopan, Jalisco",,,"Zapopan","Jalisco",,"01 33","36-56-30-65","36-56-34-83","36-56-36-00","36-56-39-17","36-56-39-28","36-56-40-91",
2,4543,"La Noria","Circuito Interior No. 1751 Col. La Noria Entre Calle 21 Sur Y 19 Sur Puebla,  Pue. C.p. 72410",,,"Puebla","Puebla, Pue",,"01 22","22-11-30-10","22-11-30-11","22-11-30-12",,,"Ext.112",
2,4544,"Avila Camacho","Manuel Avila Camacho No. 606 Col. Tlaltenango Cuernavaca, Morelos C.p. 62170",,,"Cuernavaca","Morelos",,"01 777","102-06-65","102-06-67","102-06-68","102-06-69",,"102-06-76",
2,5773,"Río Mayo","Rio Mayo No. 1209 Col. Vista Hermosa Cuernavaca, Mor. C.p. 62290",,,"Cuernavaca","Morelos",,"01 777",3228844,3167823,3167269,3165164,3166829,,
2,5796,"Puerta De Hierro","Av. Patria No. 2051 Fracc. Real Acueducto Zapopan, Jal. C. P. 45116",,,"Zapopan","Jalisco",,"01 33","36-11-11-93","36-11-11-94","36-11-11-97",,,"Ext. 133",
2,5815,"Jurica","Av. 5 De Febrero No. 9222  Col. Ampliación Júrica Querétaro, Qro. C.p.  76100",,,"Queretaro","Queretaro, Qro.",,"01 442","199-08-38","199-08-39","199-08-40","199-08-41","199-08-42","199-08-43",
2,5817,"Axomiatla","Calz. De Las águilas No. 1819 Col. San Antonio Tarango Delg. Alvaro Obregón Mexico, D.f. C.p. 01780",,,"Area Metropolitana","Mexico, D.f",,"01 55","56-35-92-89","56-35-94-66","56-35-93-54","56-35-93-24","56-35-51-84","56-35-95-21",
